year,zone,value
2010,E. River Bridges,16790
2010,Midtown,19925
2010,Uptown,18360
2011,E. River Bridges,18941
2011,Midtown,20841
2011,Uptown,19378
2012,E. River Bridges,19073
2012,Midtown,18931
2012,Uptown,20353
2013,E. River Bridges,20935
2013,Midtown,21105
2013,Uptown,21363
2014,E. River Bridges,21524
2014,Midtown,24102
2014,Uptown,22697
2015,E. River Bridges,22126
2015,Midtown,23233
2015,Uptown,19368
2016,E. River Bridges,22626
2016,Midtown,34787
2016,Uptown,21658
2017,E. River Bridges,22408
2017,Midtown,36833
2017,Uptown,25713
2018,E. River Bridges,21033
2018,Midtown,31979
2018,Uptown,27484
2019,E. River Bridges,16984
2019,Midtown,36502
2019,Uptown,30913
